trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
157,2023-09-11,LONG,09:55,9,10:05,11,14:25,63,19934.15,19962.2,19899.1,19963.2,TARGET,28.05,2023.75,52,1,30.05,0.7055,0.8719
158,2023-09-13,LONG,09:20,2,09:30,4,09:35,5,20019.1,19956.75,19983.1,20052.45,FT_FAILURE,-62.35,-4756.25,1,1,34.35,0.837,0.9199
159,2023-09-14,LONG,09:25,3,09:35,5,10:00,10,20156.6,20125.3,20126.3,20180.9,STOP_LOSS,-31.3,-2427.5,5,1,25.3,0.5593,0.7846
160,2023-09-15,SHORT,09:30,4,09:45,7,10:55,21,20136.0,20166.95,20165.95,20112.0,STOP_LOSS,-30.95,-2401.25,14,1,24.95,0.5972,0.1583
161,2023-09-18,LONG,09:25,3,09:35,5,10:05,11,20159.15,20184.65,20126.65,20185.65,TARGET,25.5,1832.5,6,1,27.5,0.5618,0.8127
162,2023-09-21,SHORT,09:40,6,09:50,8,10:00,10,19800.7,19777.7,19827.05,19776.7,TARGET,23.0,1645.0,2,1,21.35,0.726,0.2084
163,2023-09-22,SHORT,09:25,3,09:35,5,09:50,8,19751.9,19718.5,19787.9,19717.5,TARGET,33.4,2425.0,3,1,35.4,0.8234,0.0494
164,2023-09-22,SHORT,09:55,9,10:05,11,10:25,15,19674.3,19711.3,19710.3,19627.45,STOP_LOSS,-37.0,-2855.0,4,1,47.85,0.7701,0.0146
165,2023-09-27,SHORT,09:20,2,09:30,4,10:00,10,19604.8,19581.8,19631.3,19580.8,TARGET,23.0,1645.0,6,1,21.5,0.8651,0.0
166,2023-09-28,SHORT,09:35,5,09:45,7,10:10,12,19696.55,19733.55,19732.55,19662.6,STOP_LOSS,-37.0,-2855.0,5,1,34.95,0.8112,0.1459
167,2023-09-29,LONG,09:40,6,09:50,8,10:05,11,19582.95,19605.95,19562.4,19606.95,TARGET,23.0,1645.0,3,1,15.55,0.9132,1.0
168,2023-10-06,LONG,09:45,7,10:00,10,10:40,18,19615.15,19638.15,19587.4,19639.15,TARGET,23.0,1645.0,8,1,22.75,0.8374,0.9626
169,2023-10-12,SHORT,09:45,7,09:55,9,10:45,19,19782.7,19817.4,19816.4,19755.0,STOP_LOSS,-34.7,-2682.5,10,1,28.7,0.8258,0.1411
170,2023-10-16,LONG,09:35,5,09:45,7,10:05,11,19723.75,19747.75,19692.75,19748.75,TARGET,24.0,1720.0,4,1,26.0,0.8827,1.0
171,2023-10-20,LONG,09:20,2,09:30,4,09:55,9,19589.7,19555.75,19556.75,19616.65,STOP_LOSS,-33.95,-2626.25,5,1,27.95,0.7513,0.8998
